Program Name,University,Degree,Grade Range,Experiential Learning,Enrollment,Instruction Language
Concurrent Education (Primary/Junior – Teach Kindergarten to Grades 6) (Thunder Bay and Orillia),Lakehead University,"Bachelor of Arts and Science/Bachelor of Education, BASc/BEd
Bachelor of Arts/Bachelor of Education, BA/BEd
Bachelor of Environmental Science/Bachelor of Education, BESc/BEd
Bachelor of Environmental Studies/Bachelor of Education, BES/BEd
Bachelor of Fine Arts/Bachelor of Education, BFA/BEd
Bachelor of Kinesiology/Bachelor of Education, BK/BEd
Bachelor of Outdoor Recreation/Bachelor of Education, BOR/BEd
Bachelor of Science/Bachelor of Education, BSc/BEd",70%,Practicum or internship option available,Open Enrollment,English & French
Concurrent Education with Arts – Junior/Intermediate,Laurentian University,"Bachelor of Arts/Bachelor of Education, BA/BEd",75%,Practicum or internship option available,Open,English
Concurrent Education with Health Promotion – Junior/Intermediate,Laurentian University,"Bachelor of Physical Education/Bachelor of Education, BPHE/BEd",75%,Practicum or internship option available,Open,English
Concurrent Education with Indigenous Social Work – Junior/​Interm­ediate,Laurentian University,"Bachelor of Social Work, BSW",75%,Field placement,Limited,English
Concurrent Education with Kinesiology (B.Sc.) – Junior/Intermediate,Laurentian University,"Bachelor of Science/Bachelor of Education, BSc/BEd",75%,Field placement,Open,English
Concurrent Education with Kinesiology (BPHE) – Junior/Intermediate,Laurentian University,"Bachelor of Physical Education/Bachelor of Education, BPHE/BEd",75%,Practicum or internship option available,Open,English
Concurrent Education with Outdoor Adventure Leadership – Junior/Intermediate,Laurentian University,"Bachelor of Physical Education/Bachelor of Education, BPHE/BEd",75%,Field placement,Open,English
Concurrent Education with Science – Junior/Intermediate,Laurentian University,"Bachelor of Science/Bachelor of Education, BSc/BEd",75%,Field placement,Open,English
Concurrent Education with Social Work - Junior/Intermediate,Laurentian University,"Bachelor of Social Work, BSW",75%,Field placement,Open,English
Concurrent Education with Sport Psychology – Junior/Intermediate,Laurentian University,"Bachelor of Arts/Bachelor of Education, BA/BEd",75%,Practicum or internship option available,Open,English
Concurrent Education/Arts,Queen's University,"Bachelor of Arts, BA
Bachelor of Arts/Bachelor of Education, BA/BEd",High 80s,Practicum or internship option available,175,English
Concurrent Education/Arts - French,Queen's University,"Bachelor of Arts, BA
Bachelor of Arts/Bachelor of Education, BA/BEd",Mid 80s,Practicum or internship option available,10,English
Concurrent Education/Kinesiology,Queen's University,"Bachelor of Science/Bachelor of Education, BSc/BEd
Bachelor of Science in Kinesiology, BSc(Kin)",High 80s,Practicum or internship option available,10,English
Concurrent Education/Music,Queen's University,"Bachelor of Music/Bachelor of Education, BMus/BEd",Mid 80s,Practicum or internship option available,15,English
Concurrent Education/Science,Queen's University,"Bachelor of Science/Bachelor of Education, BSc/BEd",Mid 80s,Practicum or internship option available,100,English
"Concurrent Education: Arts, Media, Performance & Design (BEd)",York University,"Bachelor of Arts/Bachelor of Education, BA/BEd
Bachelor of Fine Arts/Bachelor of Education, BFA/BEd",High 70s to mid-80s,Class-based experiential education,Open,English
Concurrent Education: Educational Studies (BEd),York University,"Bachelor of Arts/Bachelor of Education, BA/BEd",High 70s to mid-80s,Class-based experiential education,Open,English
Concurrent Education: Health (BEd),York University,"Bachelor of Arts/Bachelor of Education, BA/BEd
Bachelor of Health Studies/Bachelor of Education, BHS/BEd
Bachelor of Science/Bachelor of Education, BSc/BEd",High 70s to Mid-80s,Class-based experiential education,Open,English
Concurrent Education: Lassonde (BEd),York University,"Bachelor of Arts/Bachelor of Education, BA/BEd
Bachelor of Science/Bachelor of Education, BSc/BEd",High 70s to Mid-80s,Class-based experiential education,Open,English
Concurrent Education: Liberal Arts & Professional Studies (BEd),York University,"Bachelor of Arts/Bachelor of Education, BA/BEd",High 70s to mid-80s,Class-based experiential education,Open,English
Concurrent Education: Science (BEd),York University,"Bachelor of Arts/Bachelor of Education, BA/BEd
Bachelor of Science/Bachelor of Education, BSc/BEd",High 70s to mid-80s,Class-based experiential education,Open,English
"Concurrent General BA (Communication, Media and Film)/BEd",University of Windsor,"Bachelor of Arts/Bachelor of Education, BA/BEd",75–85%,Practicum or internship option available,N/A,English
Concurrent General BA (Drama)/BEd,University of Windsor,"Bachelor of Arts/Bachelor of Education, BA/BEd",75–87%,Practicum or internship option available,20,English
Concurrent General BA (English)/BEd,University of Windsor,"Bachelor of Arts/Bachelor of Education, BA/BEd",75–87%,Practicum or internship option available,20,English
Concurrent General BA (French Studies)/BEd,University of Windsor,"Bachelor of Arts/Bachelor of Education, BA/BEd",75–87%,Practicum or internship option available,20,English
Concurrent General BA (History)/BEd,University of Windsor,"Bachelor of Arts/Bachelor of Education, BA/BEd",75–87%,Practicum or internship option available,20,English
Concurrent General BA (Political Science)/BEd,University of Windsor,"Bachelor of Arts/Bachelor of Education, BA/BEd",75–88%,Practicum or internship option available,20,English
Concurrent General BA (Psychology)/BEd/Diploma in ECE,University of Windsor,"Bachelor of Arts/Bachelor of Education/ECE Diploma, BA/BEd/Dip",75–88%,Practicum or internship option available,20,English
Concurrent General BA (Visual Art)/BEd,University of Windsor,"Bachelor of Arts/Bachelor of Education, BA/BEd",75–88%,Practicum or internship option available,20,English
Concurrent General BMath/BEd,University of Windsor,"Bachelor of Mathematics/Bachelor of Education, BMath/BEd",80–91%,Practicum or internship option available,20,English
Concurrent General BSc (General Science)/BEd,University of Windsor,"Bachelor of Science/Bachelor of Education, BSc/BEd",80 to 87%,Practicum or internship option available,20,English
Concurrent Honours BMus (Music Education)/BEd,University of Windsor,"Bachelor of Music/Bachelor of Education, BMus/BEd",75–87%,Practicum or internship option available,"Admission to first year only, with a minimum of 75%.",English
"Conflict Resolution (Certificate, Part-time only) (1 year)",University of Ottawa – Saint Paul University,"Certificate, Cert",70% min.,Class-based experiential education,Open,English
Conflict Studies (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University,"Bachelor of Arts, BA",70% min.,Practicum or internship option available,Open,English
Conflict Studies and Human Rights (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75%; co-op 80%,Co-op option available with this program,45,English
Conservation Biology,Trent University,"Bachelor of Health Sciences, BHSc",75% minimum,Practicum or internship option available,20,English
Conservation Biology – Co-op,Trent University,"Bachelor of Health Science, BHSc",Eighty to eighty-five percent,Co-op program,5,English
Creative Industries,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 80s,Practicum or internship option available,260,English
Creative Technologies (BFA),York University – Markham Campus,"Bachelor of Fine Arts, BFA",Mid-70s,Practicum or internship option available,50										Open,English
Creative Writing,OCAD University,"Bachelor of Fine Arts, BFA",N/A,Practicum or internship option available,"1,100										(total enrollment in all programs)",English
"Creativity, Digital Arts and Entertainment Industries",Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,N/A,English
"Creativity, Digital Arts and Entertainment Industries (Co-op)",Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
Criminal Justice,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Co-op available with a different program code,N/A,English
Criminal Justice,Laurentian University,"Bachelor of Arts, BA",70%,Class-based experiential education,Open,English
Criminal Justice (Co-op),Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Co-op program,N/A,English
Criminal Justice and Public Policy (co-op and regular),University of Guelph,"Bachelor of Arts, BA",80 to 86%,Co-op option available with this program,N/A,English
Criminology,Laurentian University,"Bachelor of Arts, BA",70%,Class-based experiential education,Open,English
